                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,4.7209,14.187,2.5298,2.7979,18.965,1.4384,0.48691,0.3983,0.34684,0.09379,3.0724,3.0308,1.4752,2.785,3.5446,1.4182,0.00066475,0.00066475,0.00066475
2,2.6576,1.7517,1.2738,2.6019,2.3025,1.1897,0.7143,0.6847,0.73696,0.2803,2.0774,1.3536,1.1097,2.0377,1.9778,1.0639,0.0013248,0.0013248,0.0013248
3,2.2085,1.3263,1.1327,2.2554,1.7735,1.0743,0.72732,0.69115,0.74296,0.28331,1.9292,1.1816,1.0517,1.9929,1.7675,1.041,0.0019783,0.0019783,0.0019783
4,2.0354,1.1591,1.0721,2.1105,1.5043,1.0324,0.80429,0.75312,0.83265,0.34361,1.8389,1.0694,1.0246,1.8722,1.4805,1.0153,0.0019703,0.0019703,0.0019703
5,1.9376,1.0519,1.0375,2.0372,1.2904,1.0013,0.82408,0.81001,0.88197,0.39034,1.8135,0.98258,1.0105,1.8361,1.2215,0.99096,0.0019703,0.0019703,0.0019703
6,1.9221,0.99874,1.0409,2.0303,1.1683,1.0013,0.84265,0.83708,0.89846,0.40073,1.7865,0.92413,1.0059,1.8681,1.1312,0.99347,0.0019604,0.0019604,0.0019604
7,1.8336,0.92828,1.0154,1.9705,1.0336,0.98564,0.84032,0.85734,0.90552,0.43004,1.7087,0.85212,0.98555,1.7836,0.98659,0.97538,0.0019505,0.0019505,0.0019505
8,1.8337,0.90897,1.0129,1.9407,0.97522,0.97952,0.87168,0.84658,0.9205,0.45909,1.6831,0.83726,0.97951,1.724,0.91027,0.96488,0.0019406,0.0019406,0.0019406
9,1.7952,0.8912,1.0012,1.9267,0.92727,0.97542,0.8516,0.85807,0.91078,0.41207,1.6728,0.82249,0.97513,1.8306,0.89941,0.98001,0.0019307,0.0019307,0.0019307
10,1.7354,0.83873,0.99183,1.8628,0.85061,0.96598,0.86625,0.85657,0.92644,0.47797,1.6212,0.77846,0.96713,1.6439,0.80838,0.95246,0.0019208,0.0019208,0.0019208
11,1.6956,0.80579,0.9864,1.8315,0.79917,0.96495,0.88599,0.86602,0.9286,0.46819,1.586,0.7657,0.95347,1.68,0.71278,0.9455,0.0019109,0.0019109,0.0019109
12,1.7031,0.79421,0.97995,1.8553,0.77428,0.96027,0.89749,0.86257,0.94011,0.49064,1.5171,0.73018,0.94144,1.6217,0.67016,0.93777,0.001901,0.001901,0.001901
13,1.6558,0.775,0.97365,1.8253,0.7448,0.95411,0.8966,0.89505,0.94168,0.48099,1.577,0.74274,0.94778,1.6855,0.64842,0.94515,0.0018911,0.0018911,0.0018911
14,1.6217,0.75665,0.96328,1.797,0.7078,0.94763,0.91701,0.86698,0.94283,0.49604,1.5539,0.71094,0.94317,1.6463,0.6396,0.93941,0.0018812,0.0018812,0.0018812
